timestamp,transaction_id,source_ip,source_port,function_code,function_name,action,reason,unit_id,data_length
2025-12-22T22:50:30.095768,2783,127.0.0.1,52323,5,WRITE_SINGLE_COIL,ALLOW,WRITE_SINGLE_COIL is whitelisted,1,4
2025-12-22T22:51:07.603719,4487,127.0.0.1,52323,6,WRITE_SINGLE_REGISTER,ALLOW,WRITE_SINGLE_REGISTER is whitelisted,1,4
2025-12-22T22:55:41.333880,21213,127.0.0.1,49649,5,WRITE_SINGLE_COIL,ALLOW,WRITE_SINGLE_COIL is whitelisted,1,4
2025-12-22T23:02:04.658447,28513,127.0.0.1,60704,5,WRITE_SINGLE_COIL,ALLOW,WRITE_SINGLE_COIL is whitelisted,1,4
2025-12-22T23:17:34.635833,17252,127.0.0.1,50640,5,WRITE_SINGLE_COIL,ALLOW,WRITE_SINGLE_COIL is whitelisted,1,4
2025-12-22T23:23:30.944268,20522,127.0.0.1,63381,5,WRITE_SINGLE_COIL,ALLOW,WRITE_SINGLE_COIL is whitelisted,1,4
2025-12-22T23:23:54.363059,10236,127.0.0.1,63381,5,WRITE_SINGLE_COIL,ALLOW,WRITE_SINGLE_COIL is whitelisted,1,4
2025-12-24T17:17:51.056769,17495,127.0.0.1,62589,1,READ_COILS,ALLOW,READ_COILS is whitelisted,1,4
2025-12-24T17:18:08.103601,15636,127.0.0.1,62589,2,READ_DISCRETE_INPUTS,ALLOW,READ_DISCRETE_INPUTS is whitelisted,1,4
2025-12-24T17:18:25.128122,51557,127.0.0.1,62589,4,READ_INPUT_REGISTERS,ALLOW,READ_INPUT_REGISTERS is whitelisted,1,4
2025-12-24T17:21:23.440061,45562,127.0.0.1,62589,6,WRITE_SINGLE_REGISTER,ALLOW,WRITE_SINGLE_REGISTER is whitelisted,1,4
2025-12-24T17:21:57.271280,60837,127.0.0.1,62589,5,WRITE_SINGLE_COIL,ALLOW,WRITE_SINGLE_COIL is whitelisted,1,4
2025-12-24T17:22:36.936357,63211,127.0.0.1,62589,16,WRITE_MULTIPLE_REGISTERS,BLOCK,WRITE_MULTIPLE_REGISTERS (FC:0x10) is blocked by security policy,1,11
2025-12-24T17:24:33.887744,28756,127.0.0.1,50336,5,WRITE_SINGLE_COIL,BLOCK,WRITE_SINGLE_COIL (FC:0x05) is blocked by security policy,1,4
2025-12-24T17:33:40.679115,10569,127.0.0.1,61405,4,READ_INPUT_REGISTERS,ALLOW,READ_INPUT_REGISTERS is whitelisted,1,4
2025-12-24T17:35:11.582394,59419,127.0.0.1,61405,6,WRITE_SINGLE_REGISTER,ALLOW,WRITE_SINGLE_REGISTER is whitelisted,1,4
